"2024-09-30 19:08:28,493",0.264,0.035
"2024-09-30 19:39:49,619",0.264,0.030
"2024-09-30 20:11:15,050",0.264,0.024
"2024-09-30 20:42:35,672",0.264,0.019
"2024-09-30 21:13:56,888",0.264,0.013
"2024-09-30 21:45:17,007",0.220,0.007
"2024-09-30 22:16:41,988",0.220,0.046
"2024-09-30 22:48:02,558",0.264,0.040
"2024-09-30 23:19:23,450",0.220,0.034
"2024-09-30 23:50:45,278",0.220,0.028
"2024-10-01 00:22:04,077",0.220,0.022
"2024-10-01 00:53:27,342",0.264,0.016
"2024-10-01 01:24:46,152",0.132,0.010
"2024-10-01 01:56:08,177",0.132,0.048
"2024-10-01 02:27:31,278",0.220,0.042
"2024-10-01 02:58:51,173",0.132,0.036
"2024-10-01 03:30:14,949",0.132,0.029
"2024-10-01 04:32:52,624",0.264,0.016
"2024-10-01 05:35:28,419",0.176,0.047
"2024-10-01 06:38:09,589",0.308,0.033
"2024-10-01 07:09:24,717",-0.044,-0.016
"2024-10-01 07:40:49,921",0.176,0.021
"2024-10-01 08:43:29,138",0.264,0.007
"2024-10-01 09:46:05,894",0.220,0.038
"2024-10-01 10:17:21,678",-0.088,-0.012
"2024-10-01 10:48:50,349",0.220,0.025
"2024-10-01 11:20:06,634",-0.044,-0.024
"2024-10-01 11:51:34,583",0.176,0.012
"2024-10-01 12:54:15,502",0.220,0.043
"2024-10-01 13:56:56,746",0.264,0.029
"2024-10-01 14:59:42,381",0.308,0.016
"2024-10-01 16:02:23,621",0.264,0.047
"2024-10-01 16:33:49,978",0.088,0.041
"2024-10-01 17:05:19,199",0.132,0.035
"2024-10-01 17:36:50,172",0.220,0.029
"2024-10-01 18:08:24,418",0.264,0.024
"2024-10-01 18:39:56,937",0.264,0.019
"2024-10-01 19:11:30,625",0.264,0.014
"2024-10-01 19:43:05,210",0.308,0.009
"2024-10-01 20:14:37,927",0.264,0.047
"2024-10-01 20:46:09,549",0.308,0.042
"2024-10-01 21:17:34,201",0.308,0.037
"2024-10-01 21:48:59,463",0.308,0.030
"2024-10-01 22:20:24,826",0.308,0.024
"2024-10-01 22:51:49,203",0.308,0.017
"2024-10-01 23:23:18,099",0.308,0.012
"2024-10-01 23:54:40,244",0.264,0.049
"2024-10-02 00:26:02,984",0.308,0.042
"2024-10-02 00:57:24,645",0.308,0.035
"2024-10-02 01:28:47,736",0.264,0.028
"2024-10-02 02:00:08,585",0.264,0.022
"2024-10-02 02:31:33,075",0.264,0.015
"2024-10-02 03:02:54,442",0.264,0.008
"2024-10-02 03:34:14,792",0.220,0.045
"2024-10-02 04:05:37,704",0.220,0.038
"2024-10-02 04:36:59,543",0.220,0.031
"2024-10-02 05:08:20,611",0.220,0.024
"2024-10-02 05:39:44,245",0.264,0.017
"2024-10-02 06:11:06,878",0.220,0.010
"2024-10-02 06:42:28,087",0.220,0.047
"2024-10-02 07:13:47,145",0.220,0.040
"2024-10-02 07:44:58,459",0.264,0.031
"2024-10-02 08:16:21,989",0.264,0.024
"2024-10-02 08:47:41,523",0.264,0.017
"2024-10-02 09:19:01,857",0.264,0.010
"2024-10-02 09:50:22,381",0.220,0.047
"2024-10-02 10:21:44,173",0.264,0.039
"2024-10-02 10:53:04,762",0.264,0.032
"2024-10-02 11:24:26,670",0.264,0.025
"2024-10-02 11:55:47,323",0.264,0.018
"2024-10-02 12:27:08,894",0.264,0.011
"2024-10-02 12:58:28,755",0.220,0.048
"2024-10-02 13:29:49,052",0.264,0.040
